編號,名稱,地區,地址,電話,營業時間
617,迷客夏,Taipei,10074臺北市中正區寧波西街50號,02-2356-8825,9:00-23:00
618,迷客夏,Taipei,10569臺北市松山區南京東路五段261號,02-2761-4588,9:00-23:00
619,TeaTop台灣第一味,Taipei,台北市內湖區內湖路一段91巷11號,02-2798-5511,10:00-20:00
620,TeaTop台灣第一味,Taipei,台北市信義區松山路574號,02-23468866,10:00-20:00
621,TeaTop台灣第一味,Taipei,台北市信義區忠孝東路5段23號1樓,02-27658532,10:00-20:00
622,TeaTop台灣第一味,Taipei,台北市南港區忠孝東路六段450號,02-2651-1161,10:00-20:00
623,TeaTop台灣第一味,Taipei,台北市士林區中正路235巷40號,02-2882-2121,10:00-20:00
624,TeaTop台灣第一味,Taipei,台北市中山區松江路376-1號,02-25993058,10:00-20:00
625,TeaTop台灣第一味,Taipei,台北市大安區延吉街153之10號,02-27755960,10:00-20:00
626,京盛宇,Taipei,台北市大安區敦化南路一段245號B1,02-2775-5977 #621,12:00-20:00
627,京盛宇,Taipei,台北市信義區菸廠路88號3樓,02-6636-5888 #1505,12:00-20:00
628,京盛宇,Taipei,台北市中正區忠孝西路一段66號B2,02-2388-5552 #5061,12:00-20:00
629,京盛宇,Taipei,台北市信義區松壽路11號B2,02-2722-0317,12:00-20:00
630,黃巾珍珠奶茶,Taipei,台北市大安區忠孝東路四段205巷3-1號,02-2731-9356,12:00-23:00
631,黃巾珍珠奶茶,Taipei,台北市中正區八德路一段82巷9弄8號,02-2341-6627,12:00-23:00
632,綠蓋茶館,Taipei,臺北市大安區忠孝東路4段216巷11弄16號,02-27219909,12:00-23:00
633,綠蓋茶館,Taipei,臺北市萬華區峨嵋街52號3樓,02-23751785,12:00-23:00
634,綠蓋茶館,Taipei,臺北市大安區新生南路三段98號3樓,02-23661785,12:00-23:00
635,綠蓋茶館,Taipei,臺北市士林區文林路340-1號1樓,02-28881301,12:00-23:00
636,綠蓋茶館,Taipei,台北市信義區松高路11號B1,02-27226005,12:00-23:00
637,綠蓋茶館,Taipei,臺北市士林區小西街27號, 02-28803131,12:00-23:00
638,良辰吉時,Taipei,台北市大安區大安路一段51巷21號之6,02-2750-6123,已停業
639,良辰吉時,Taipei,台北市南京東路五段287號,02-2748-9080,已停業
640,良辰吉時,Taipei,台北市信義區松山路105號,02-2761-5353,已停業
641,珍煮丹 TRUEDAN,Taipei,大北路54號,02-2881-5238,10:00-21:00
642,珍煮丹 TRUEDAN,Taipei,忠孝東路5段17號之一,02-2742-3896,10:00-21:00
643,珍煮丹 TRUEDAN,Taipei,江南街108號,02-2799-8296,10:00-21:00
644,珍煮丹 TRUEDAN,Taipei,信義路三段200號,02-2700-0558,10:00-21:00
645,珍煮丹 TRUEDAN,Taipei,開封街一段11號,02-2331-2323,10:00-21:00
646,珍煮丹 TRUEDAN,Taipei,遼寧街65號,02-8773-8600,10:00-21:00
647,珍煮丹 TRUEDAN,Taipei,羅斯福路一段12號,02-2397-1828,10:00-21:00
648,圓石禪飲,Taipei,台北市中山區遼寧街13號,02-2776-3050,11:00-21:00
649,圓石禪飲,Taipei,台北市士林區大北路15號,02-288-23701,11:00-21:00
650,清玉好茶,Taipei,台北市中山區雙城街15號,洪羽辰,9:00-22:00
651,清玉好茶,Taipei,台北市松山區松隆路329巷2號,劉大偉,9:00-22:00
652,清玉好茶,Taipei,台北市中山區北安路532-4號,,9:00-22:00
653,清玉好茶,Taipei,台北市內湖區內湖路一段91巷5號,,9:00-22:00
654,清玉好茶,Taipei,台北市內湖區內湖路一段341-1號,,9:00-22:00
655,ICE MONSTER ,Taipei,台北市信義區松高路16號,02-2722-9776,9:00-22:00
656,萃茶風,Taipei,台北市中正區杭州南路一段5號,02-23568011,9:00-22:00
657,萃茶風,Taipei,台北市中正區汀州路三段151號,02-23671119,9:00-22:00
658,萃茶風,Taipei,台北市松山區南京東路五段250巷16號,02-27653649,9:00-22:00
659,萃茶風,Taipei,台北市中山區長安東路二段47-2號,02-21001808,9:00-22:00
660,一芳YI FANG 台灣水果茶,Taipei,台北市大安區和平東路二段118巷62號,02-27387550,9:00-22:00
661,一芳YI FANG 台灣水果茶,Taipei,台北市松山區民生東路4段66號,02-27166363,9:00-22:00
662,一芳YI FANG 台灣水果茶,Taipei,台北市松山區八德路四段773號1F,02-27481458,9:00-22:00
663,一芳YI FANG 台灣水果茶,Taipei,台北市中山區錦州街410號,02-25078166,9:00-22:00
664,一芳YI FANG 台灣水果茶,Taipei,110台北市信義區松德路3號,02-27275767,9:00-22:00
665,一芳YI FANG 台灣水果茶,Taipei,115台北市南港區南港路一段235號,02-27889598,9:00-22:00
666,一芳YI FANG 台灣水果茶,Taipei,114台北市內湖區江南街85號 1F,02-87975818,9:00-22:00
667,樂法,Taipei,和平東路一段129號,02-23224408,10:00-22:00
668,樂法,Taipei,園區街3號2樓之11,02-26557386,10:00-22:00
669,樂法,Taipei,羅斯福路三段283巷6號,02-23673110,10:00-22:00
670,樂法,Taipei,八德路一段82巷七號,02-23510093,10:00-22:00
671,樂法,Taipei,南陽街9號,02-23143921,10:00-22:00
672,樂法,Taipei,民生東路三段130巷16號,02-27160502,10:00-22:00
673,樂法,Taipei,林森北路263-4.263-5號,02-25671175,10:00-22:00
674,樂法,Taipei,忠孝東路三段293號,02-27752292,10:00-22:00
675,樂法,Taipei,漢中街116號,223700375,10:00-22:00
676,樂法,Taipei,忠孝東路四段205巷7弄1號,02-27115091,10:00-22:00
677,樂法,Taipei,瑞光路513巷35號,02-87513522,10:00-22:00
678,樂法,Taipei,忠孝西路1段49號B3(12號販賣店),02-23142445,10:00-22:00
679,樂法,Taipei,羅斯福路四段1號(台灣大學第1活動中心),223673017,10:00-22:00
680,籠町茶番,Taipei,台北市大安區敦化南路一段187巷23號,02-27755038,10:00-22:00
681,樺達奶茶,Taipei,台北市中正區忠孝西路一段47號B1,973851960,10:30-21:00
682,樺達奶茶,Taipei,台北市中正區忠孝西路一段49號B1,973851020,10:30-21:00
683,樺達奶茶,Taipei,台北市松山區通化街82號,02 2377 1658,10:30-21:00
684,樺達奶茶,Taipei,台北市中正區忠孝西路一段49號B1?-1,973851169,10:30-21:00
685,日出茶太Chatime,Taipei,台北市中山區敬業三路20號(美麗華百樂園B1),02-2175-3020,10:30-21:00
686,日出茶太Chatime,Taipei,台北市信義區松壽路20號2F,02-8780-0208,10:30-21:00
687,日出茶太Chatime,Taipei,台北市中正區新生南路一段6號,02-23958559,10:30-21:00
688,日出茶太Chatime,Taipei,台北市信義區松仁路160號,02-87809388,10:30-21:00
689,吉龍糖黑糖茶飲專賣,Taipei,民權西路42號1樓,02-2511-5078,已停業
690,吉龍糖黑糖茶飲專賣,Taipei,文昌街205號1樓,02-2701-3532,已停業
691,吉龍糖黑糖茶飲專賣,Taipei,敦化南路一段228號,02-2740-9321,已停業
692,吉龍糖黑糖茶飲專賣,Taipei,復興南路一段107巷21號,02-2777-3001,已停業
693,吉龍糖黑糖茶飲專賣,Taipei,玉成街148號1樓,02-2788-8211,已停業
694,吉龍糖黑糖茶飲專賣,Taipei,中正路281號1樓,02-2888-2018,已停業
695,吉龍糖黑糖茶飲專賣,Taipei,民權東路二段19號 1樓,02-2595-8058,已停業
696,吉龍糖黑糖茶飲專賣,Taipei,錦州街459號,02-2500-0658,已停業
697,吉龍糖黑糖茶飲專賣,Taipei,南京東路五段123巷31號,02-2761-9901,已停業
698,吉龍糖黑糖茶飲專賣,Taipei,復興南路二段201號1樓,02-2701-4000,已停業
699,良辰吉時,Taipei,復興南路一段68號,02 2775 3533,10:30-21:00
700,良辰吉時,Taipei,許昌街6號,02 2388 1239,10:30-21:00
701,喬治派克,Taipei,台北市南港區八德路四段790號,02-26516070,10:30-21:00
702,一芳YI FANG 台灣水果茶,Taipei,台北市松山區八德路3段126號,02-25792689,9:00-22:00
703,一芳YI FANG 台灣水果茶,Taipei,台北市內湖區東湖路104號,02-26341899,9:00-22:00
704,一芳YI FANG 台灣水果茶,Taipei,台北市萬華區廣州街138號,02-23028590,9:00-22:00
705,一芳YI FANG 台灣水果茶,Taipei,台北市士林區中山北路六段150之1號,02-28320113,9:00-22:00
706,茶湯會,Taipei,忠孝西路一段66號B1(台北新光站前店),02-23714555,9:00-22:00
707,茶湯會,Taipei,康定路213號(萬華康定店-板新茶行),02-29597778,9:00-22:00
708,迷客夏,Taipei,永吉路30巷114號1樓,06-2818569,9:00-22:00
709,迷客夏,Taipei,德行東路82號,02-28345269,9:00-22:00
710,迷客夏,Taipei,莊敬路319號,02-27209660,9:00-22:00
711,迷客夏,Taipei,內湖路一段435號,02-26271359,9:00-22:00
712,迷客夏,Taipei,東湖路88號,02-2633-3130,9:00-22:00
713,迷客夏,Taipei,虎林街125號,02-87860601,9:00-22:00
714,迷客夏,Taipei,南陽街15-5號,02-23119011,9:00-22:00
715,迷客夏,Taipei,大安路一段213號,02-27036116,9:00-22:00
716,迷客夏,Taipei,羅斯福路四段132號,02-23681890,9:00-22:00
717,迷客夏,Taipei,中央南路一段1號,02-28986326,9:00-22:00
718,迷客夏,Taipei,文林路311號,02-28815939,9:00-22:00
719,迷客夏,Taipei,民權東路六段100號,02-27946755,9:00-22:00
720,迷客夏,Taipei,康寧路一段25號,02-27903866,9:00-22:00
721,迷客夏,Taipei,延吉街163之1號,02-27762990,9:00-22:00
722,迷客夏,Taipei,興隆路三段112巷2弄3號,02-89318806,9:00-22:00
723,迷客夏,Taipei,漢中街126號,02-23706020,9:00-22:00
724,迷客夏,Taipei,伊通路68-3號,02-2518-5358,9:00-22:00
725,迷客夏,Taipei,遼寧街38號,02-27755569,9:00-22:00
726,迷客夏,Taipei,民生西路144號,02-25502998,9:00-22:00
727,迷客夏,Taipei,港墘路157號,02-87519128,9:00-22:00
728,迷客夏,Taipei,三重路3號,227887788,9:00-22:00
729,迷客夏,Taipei,裕民一路40巷33號,02-28231008,9:00-22:00
730,迷客夏,Taipei,南京東路五段261號,02-27614588,9:00-22:00
731,迷客夏,Taipei,酒泉街119號,02-25986066,9:00-22:00
732,迷客夏,Taipei,農安街12號,02-25992338,9:00-22:00
733,迷客夏,Taipei,寧波西街50號,02-23568825,9:00-22:00
734,迷客夏,Taipei,錦州街353號,02-25072598,9:00-22:00
735,樂法,Taipei,成功路二段325號三軍總醫院1樓B19號櫃位,02-89789249,10:00-22:00
736,樂法,Taipei,忠孝東路五段6號市府轉運站1樓部份,02-89787820,10:00-22:00
737,樂法,Taipei,忠孝西路一段50號B1,02-89789249,10:00-22:00
738,康青龍人文茶飲,Taipei,莊敬路314號,02-,10:00-20:00
739,康青龍人文茶飲,Taipei,文林路507號,02-2834-5734,10:00-20:00
740,籠町茶番,Taipei,敦化南路一段187巷23號,02-27755038,10:00-20:00
741,ipartea茶聚,Taipei,長春路172號,02-25180896,10:00-20:00
742,好了啦紅茶冰,Taipei,基河路191號,0926-754-845,11:00-22:00
743,好了啦紅茶冰,Taipei,延平北路八段102號旁,0958-903-098,11:00-22:00
744,好了啦紅茶冰,Taipei,庫倫街44號,0930-257-394,11:00-22:00
745,好了啦紅茶冰,Taipei,錦西街67號,0933-020-720,11:00-22:00
746,好了啦紅茶冰,Taipei,歸綏街192號,0918-171-007,11:00-22:00
747,好了啦紅茶冰,Taipei,安東街57-4號,02-2775-3305,11:00-22:00
748,好了啦紅茶冰,Taipei,通化夜市臨江街基隆路口,0973-822-835,11:00-22:00
749,好了啦紅茶冰,Taipei,中原街112-3號,02-2562-3647,11:00-22:00
750,好了啦紅茶冰,Taipei,合江街108號,0978-676-889,11:00-22:00
751,好了啦紅茶冰,Taipei,龍江路356巷63號,0984-000-996,11:00-22:00
752,好了啦紅茶冰,Taipei,汀州路一段200號,02-2339-2654,11:00-22:00
753,好了啦紅茶冰,Taipei,八德路一段82巷9弄16號,0905-577-694,11:00-22:00
754,好了啦紅茶冰,Taipei,杭州南路一段113號,02-2396-6567,11:00-22:00
755,好了啦紅茶冰,Taipei,中華路二段311巷,0960-200-199,11:00-22:00
756,好了啦紅茶冰,Taipei,民權東路六段90巷2號,0927-093-333,11:00-22:00
757,好了啦紅茶冰,Taipei,恆光街12之2號,0937-534-197,11:00-22:00
758,好了啦紅茶冰,Taipei,尊賢街245巷1號,02-2822-2294,11:00-22:00
759,好了啦紅茶冰,Taipei,石牌路一段39巷122號,0916-178-673,11:00-22:00
760,好了啦紅茶冰,Taipei,裕民一路12號,02-2823-6262,11:00-22:00
761,好了啦紅茶冰,Taipei,南京東路四段133巷5號,0922-513-401,11:00-22:00
762,好了啦紅茶冰,Taipei,南京東路五段328號,02-2747-6299,11:00-22:00
763,好了啦紅茶冰,Taipei,南京東路五段59巷31弄43號,0937-060-746,11:00-22:00
764,好了啦紅茶冰,Taipei,饒河街85號,0982-789-365,11:00-22:00
765,好了啦紅茶冰,Taipei,永吉路278巷2號,0983-364-207,11:00-22:00
766,好了啦紅茶冰,Taipei,吳興街200號,0953-273-361,11:00-22:00
767,好了啦紅茶冰,Taipei,嘉興街216巷17號右側,02-2732-7945,11:00-22:00
768,好了啦紅茶冰,Taipei,福德街219號,02-2728-1295,11:00-22:00
769,好了啦紅茶冰,Taipei,忠孝東路六段443號,0933-462-287,11:00-22:00
770,好了啦紅茶冰,Taipei,研究院路二段70巷12號,0978-958-449,11:00-22:00
771,好了啦紅茶冰,Taipei,舊庄街一段3巷6號,02-2788-3025,11:00-22:00
772,好了啦紅茶冰,Taipei,西園路二段140巷,0938-413-598,11:00-22:00
773,好了啦紅茶冰,Taipei,武成街80巷84號,0987-235-858,11:00-22:00
774,好了啦紅茶冰,Taipei,環河南路二段256號,0989-481-930,11:00-22:00
775,頂呱呱,Taipei,台北市士林區士商路189號B1,(02)2834-1859,11:00-21:00
776,頂呱呱,Taipei,台北市士林區劍潭路12號,(02)-28858358,11:00-21:00
777,頂呱呱,Taipei,台北市大安區忠孝東路4段175之1號,(02)8771-9940,11:00-21:00
778,頂呱呱,Taipei,台北市大安區信義路2段176號,(02)2395-5905,11:00-21:00
779,頂呱呱,Taipei,台北市大安區復興南路一段180號1樓,(02)2711-9738,11:00-21:00
780,頂呱呱,Taipei,台北市中山區民權西路54-1號,(02)2531-8339,11:00-21:00
781,頂呱呱,Taipei,台北市中山區林森北路105號,(02)2523-1115,11:00-21:00
782,頂呱呱,Taipei,台北市中山區林森北路281號1樓,(02)2568-1679,11:00-21:00
783,頂呱呱,Taipei,台北市中山區南京東路三段 17 號,(02)2507-3948,11:00-21:00
784,頂呱呱,Taipei,台北市中正區南福里4鄰南昌路2段3號1樓,(02)2341-1428,11:00-21:00
785,頂呱呱,Taipei,台北市中正區羅斯福路四段134號1樓,(02)2368-6341,11:00-21:00
786,頂呱呱,Taipei,台北市內湖區東湖路24號,(02)2630-8705,11:00-21:00
787,頂呱呱,Taipei,台北市內湖區瑞光路283號1樓,(02)2659-9247,11:00-21:00
788,頂呱呱,Taipei,台北市文山區新光路二段30號臺北市立動物園,(02)8661-3707,11:00-21:00
789,頂呱呱,Taipei,台北市文山區興隆路3段67號,(02)2932-1693,11:00-21:00
790,頂呱呱,Taipei,台北市北投區光明路 218-2 號,(02)2896-7065,11:00-21:00
791,頂呱呱,Taipei,台北市忠孝西路一段47號B1,(02)2383-2562,11:00-21:00
792,頂呱呱,Taipei,台北市忠孝西路一段47號B1,(02)2311-4223,11:00-21:00
793,頂呱呱,Taipei,台北市松山區八德路三段206號,(02)2577-9936,11:00-21:00
794,頂呱呱,Taipei,台北市信義區松山路11號1樓之櫃位(櫃號B0701),(02)2748-4130,11:00-21:00
795,頂呱呱,Taipei,台北市信義區松仁路58號4F,(02)-87863175,11:00-21:00
796,頂呱呱,Taipei,台北市信義區松壽路12號,(02)7736-0722,11:00-21:00
797,頂呱呱,Taipei,台北市信義區信義路5段7號（101大樓B1-19),(02)-81018527,11:00-21:00
798,頂呱呱,Taipei,台北市南港區忠孝東路七段371號B1(櫃號:B112),(02)2651-5613,11:00-21:00
799,頂呱呱,Taipei,台北市南港區忠孝東路六段392號1樓,(02)2786-3206,11:00-21:00
800,頂呱呱,Taipei,台北市萬華區昆明街 92-2 號,(02)2381-2037,11:00-21:00
801,JIATE,Taipei,區忠孝西路一段66號(B1),0965-061-787,11:00-20:00
802,花岩山林民宿,New Taipei,新北市三峽區有木里有木路104-1號,886-2-26749618,24小時
803,雅都旅社,New Taipei,新北市板橋區中興路5號2至3樓,886-2-29682345,24小時
804,君利商務飯店,New Taipei,新北市板橋區公園街16號,886-2-29562800,24小時
805,帝苑旅店,New Taipei,新北市板橋區文化路1段218號,886-2-22572525,24小時
806,正點旅店,New Taipei,新北市板橋區文化路一段55號,886-2-29684152,24小時
807,富康精彩旅店,New Taipei,新北市板橋區文化路二段171號2樓至5樓,886-2-22556336,24小時
808,馥華飯店,New Taipei,新北市板橋區民生路二段251號,886-2-22501717,24小時
809,夢綺旅店,New Taipei,新北市板橋區西門街20號,886-2-29600888,24小時
810,馥俐商旅Ⅱ,New Taipei,新北市板橋區東門街10號,886-2-22722625,24小時
811,蘭竹大飯店,New Taipei,新北市板橋區東門街13號及15 號,886-2-29680186,24小時
812,美莊旅社,New Taipei,新北市板橋區東門街3號及5號,886-2-29698225,24小時
813,悅喜商務飯店,New Taipei,新北市板橋區東門街30之2號11、12樓,886-2-89658288,24小時
814,百麗旅店,New Taipei,新北市板橋區南門街1巷2號,886-2-22727398,24小時
815,美錦樂賓館,New Taipei,新北市板橋區南雅東路118號,886-2-29609933,24小時
816,新都大旅社,New Taipei,新北市板橋區南雅南路1段103號,886-2-29689193,24小時
817,菁鳥旅館,New Taipei,新北市板橋區南雅南路一段113號及115號,886-2-29669621,24小時
818,盟園旅社,New Taipei,新北市板橋區南雅南路一段1巷15號,886-2-89698016,24小時
819,宮賓旅社,New Taipei,新北市板橋區南雅南路一段1巷25號,886-2-29660889,24小時
820,欣芳旅社,New Taipei,新北市板橋區南雅南路一段1巷3號,886-2-29681381,24小時
821,甜蜜蜜旅館,New Taipei,新北市板橋區南雅南路二段28號,886-2-29586321,24小時
822,金色年代旅店,New Taipei,新北市板橋區重慶路66號12樓,886-2-29647599,24小時
823,悅榕汽車旅館,New Taipei,新北市板橋區縣民大道一段146號,886-2-89516333,24小時
824,馥都飯店,New Taipei,新北市板橋區縣民大道一段189號,886-2-29658008,24小時
825,千嘉旅店,New Taipei,新北市板橋區館前西路139號8樓,886-2-29695066,24小時
826,宏欣旅店,New Taipei,新北市板橋區館前西路213巷7號1樓,886-2-29661976,24小時
827,南國旅社,New Taipei,新北市板橋區館前西路265巷1號,886-2-29682121,24小時
828,華倫大旅社,New Taipei,新北市板橋區館前西路265巷3號,886-2-29689578,24小時
829,麗緹城市商務汽車旅店,New Taipei,新北市板橋區館前西路6號9樓,886-2-89513619,24小時
830,緩慢民宿,New Taipei,新北市瑞芳區山尖路93之1號,886-2-24961111,24小時
831,鄭家賞海樓民宿,New Taipei,新北市瑞芳區中山巷8號,886-2-24976883,24小時
832,市下巷民宿,New Taipei,新北市瑞芳區市下巷2號,886-9-25533168,24小時
833,綠野村山莊民宿,New Taipei,新北市瑞芳區靜安路4段56巷6號,886-2-24061248,24小時
834,九份景棧民宿,New Taipei,新北市瑞芳區汽車路29號,886-2-24062173,24小時
835,悠然居民宿,New Taipei,新北市瑞芳區汽車路76號,886-2-24063005,24小時
836,阿香姨民宿,New Taipei,新北市瑞芳區汽車路7號,886-2-24978811,24小時
837,多桑的店民宿,New Taipei,新北市瑞芳區烏勢巷100號,886-2-24061681,24小時
838,(溫莎堡)日光涵館民宿,New Taipei,新北市瑞芳區基山街198及200號,886-9-30824391,24小時
839,九份山經民宿,New Taipei,新北市瑞芳區基山街204號,886-9-71399968,24小時
840,九重町民宿,New Taipei,新北市瑞芳區基山街29號,886-2-24967680,24小時
841,溫莎堡-香草花園民宿,New Taipei,新北市瑞芳區基山街62號,886-9-12547078 or 886-9-60576258,24小時
842,九份岩屋民宿,New Taipei,新北市瑞芳區崙頂路137號,886-2-24969454,24小時
843,九份望琴海景觀民宿,New Taipei,新北市瑞芳區崙頂路4之1號,886-2-24969454,24小時
844,九份老舍民宿,New Taipei,新北市瑞芳區街頂巷20 or 21號,886-9-60576258,24小時
845,九份綠光民宿,New Taipei,新北市瑞芳區輕便路320號,886-2-24967307,24小時
846,麗景民宿,New Taipei,新北市瑞芳區輕便路93號3樓,886-2-24975217,24小時
847,三才靈芝農場民宿,New Taipei,新北市石碇區中民里十八重溪52之1號,886-2-26638289、886-2-26633995,24小時
848,旅途中海畔民宿,New Taipei,新北市三芝區後厝里土地公坑54之6號3樓,886-9-52830115,24小時
849,老農夫民宿,New Taipei,新北市雙溪區丁子蘭坑50號,886-2-24930266,24小時
850,憩園民宿,New Taipei,新北市萬里區愛二街24號,886-2-24921656,24小時
851,萬金龍溫泉民宿,New Taipei,新北市萬里區萬里加投45-6號,886-2-24986166,24小時
852,萬金銘珠溫泉民宿,New Taipei,新北市萬里區萬里加投45之8號,886-2-24986166,24小時
853,水田園農莊民宿,New Taipei,新北市萬里區萬里加投45之9號,886-2-24980899,24小時
854,海華休閒別墅民宿,New Taipei,新北市萬里區玉田路52號,886-2-24926701,24小時
855,圓潭溪餐坊休閒民宿,New Taipei,新北市萬里區員潭路6之2號,886-2-24982816,24小時
856,三和旅舍,New Taipei,新北市三重區三和路二段49號,886-2-29735264,24小時
857,薇風馥麗飯店,New Taipei,新北市三重區三和路4段282號,886-2-22862288,24小時
858,三重旅社,New Taipei,新北市三重區正義北路291號2至4樓,886-2-29832588,24小時
859,蝴蝶谷大飯店,New Taipei,新北市三重區正義北路6-1號10樓,886-2-29836801,24小時
860,華園旅社,New Taipei,新北市三重區正義北路8號2至4樓    ,886-2-29714231,24小時
861,肯特商務飯店,New Taipei,新北市三重區成功路75號,886-2-29768686,24小時
862,薇城精緻旅店,New Taipei,新北市三重區重新路二段21號7樓,886-2-89882868,24小時
863,華春林賓館,New Taipei,新北市三重區重新路三段180號,886-2-29769825,24小時
864,新園大旅社,New Taipei,新北市三重區重新路5段592 號2至4樓,886-2-22782137,24小時
865,上格大飯店,New Taipei,新北市三重區集成路11號,886-2-29775678,24小時
866,名華大旅社,New Taipei,新北市三重區福德北路53巷1號,886-2-29754816,24小時
867,愛摩兒時尚旅館,New Taipei,新北市永和區仁愛路316、318號,886-2-89217721,24小時
868,柯達大飯店(永和店),New Taipei,新北市永和區永和路一段103號,886-2-29239999,24小時
869,相見歡旅館,New Taipei,新北市永和區永和路一段23號,886-2-29276188,24小時
870,中信旅店,New Taipei,新北市永和區竹林路 4l 號 7-9 樓,886-2-89250688,24小時
871,美芙精品旅館,New Taipei,新北市中和區中正路1184號,886-2-22232399,24小時
872,香格里拉汽車旅館-中和館,New Taipei,新北市中和區連城路469巷79弄25號,886-2-82213666,24小時
873,君迪商旅,New Taipei,新北市中和區和城路1段232號,886-2-82213666,24小時
874,全家旅店,New Taipei,新北市中和區中和路59之1號 or 59號6樓及9至11樓,886-2-82455151,24小時
875,悅池精品旅館,New Taipei,新北市中和區立德街299號,886-2-22211234,24小時
876,景安精品旅館,New Taipei,新北市中和區明禮街32號,886-2-22438989,24小時
877,美麗殿精品汽車旅館,New Taipei,新北市中和區板南路487號,886-2-22226868,24小時
878,儷閣經典旅館,New Taipei,新北市中和區員山路8之6及8之7號,886-2-82286606,24小時
879,日暉商務旅館,New Taipei,新北市中和區景平路381號,886-2-22479997,24小時
880,凱帝賓館,New Taipei,新北市中和區景平路669號3樓,886-2-22481998,24小時
881,安盛商務旅館,New Taipei,新北市新店區二十張路31號,886-2-29101477,24小時
882,九閣商旅,New Taipei,新北市新店區中央路238號,886-2-22182118,24小時
883,仲信商務會館,New Taipei,新北市新店區中興路3段219之2號,886-2-29106600,24小時
884,新加州景觀旅館,New Taipei,新北市新店區北新路一段1號,886-2-29161717,24小時
885,愛家旅館,New Taipei,新北市新店區北新路二段108 號七樓,886-2-29129111,24小時
886,黎明旅館,New Taipei,新北市新店區北新路三段51之1號4樓,886-2-29119188,24小時
887,唯愛精典汽車旅館,New Taipei,新北市新店區永業路46號,886-2-86661699,24小時
888,伊士曼旅社,New Taipei,新北市新店區光明街34號,886-2-29111414,24小時
889,龍山旅社,New Taipei,新北市新店區光明街52號,886-2-29111800,24小時
890,碧潭飯店,New Taipei,新北市新店區碧潭路121號,886-2-22116055,24小時
891,快樂旅社,New Taipei,新北市新店區寶元路一段1號,886-2-29112077,24小時
892,挪威森林精品SPA汽車旅館,New Taipei,新北市新店區寶橋路235巷15號,886-2-89116866,24小時
893,花蝶晶漾商旅(HOTEL),New Taipei,新北市新莊區中港路572號,886-2-22779601,24小時
894,新莊客旅,New Taipei,新北市新莊區中華路1段103號3樓,886-2-22776599,24小時
895,香奈爾汽車旅館(新莊館),New Taipei,新北市新莊區後港一路187 號,886-2-29065555,24小時
896,雅緹汽車旅館,New Taipei,新北市新莊區復興路3段8號,886-2-22761818,24小時
897,月圓汽車旅館,New Taipei,新北市樹林區八德街208巷12號,886-2-86862828,24小時
898,貝爾頌精緻汽車旅館,New Taipei,新北市樹林區中正路226號,886-2-26751199,24小時
899,慕朵微風時尚休閒旅館,New Taipei,新北市樹林區中正路349號,886-2-26870033,24小時
900,佳賓旅社,New Taipei,新北市樹林區博愛街2巷24 or 26 or 28號,886-2-26812329,24小時
901,明園賓館,New Taipei,新北市樹林區博愛街6號4樓,886-2-26835057,24小時
902,龍海大飯店,New Taipei,新北市樹林區博愛街6號5樓,886-2-26813333,24小時
903,印象旅社,New Taipei,新北市樹林區鎮前街 3-3 號4樓,886-2-26834727,24小時
904,昇園賓館,New Taipei,新北市樹林區鎮前街3-4號5樓,886-2-26810868,24小時
905,玉山旅店,New Taipei,新北市鶯歌區文化路228號,886-2-86776060,24小時
906,青青汽車旅館,New Taipei,新北市三峽區長泰街30號,886-2-26743333,24小時
907,大板根渡假酒店,New Taipei,新北市三峽區插角里插角79號,886-2-26749228,24小時
908,觀海樓旅店,New Taipei,新北市淡水區中正東路一段129號,886-2-26291117,24小時
909,海中天頂級旅館,New Taipei,新北市淡水區中正東路二段127巷1至55號,886-2-28094300,24小時
910,萬熹大飯店,New Taipei,新北市淡水區中正東路35號,886-2-26213281,24小時
911,和昇淡水漁人碼頭河清飯店,New Taipei,新北市淡水區中正路一段156巷8號,886-2-28059168,24小時
912,漁人碼頭休閒旅館,New Taipei,新北市淡水區中正路二段22巷8號2至7樓,886-2-28058886,24小時
913,香寧旅店,New Taipei,新北市淡水區民權路105至111號7至8樓,886-2-28097777,24小時
914,福容大飯店 淡水漁人碼頭,New Taipei,新北市淡水區觀海路83號,886-2-26287777,24小時
915,富悅渡假休閒旅館,New Taipei,新北市淡水區淡海路171號,886-2-28051010,24小時
916,長緹海景飯店,New Taipei,新北市淡水區淡海路176號 1至6 樓,886-2-28057228,24小時
917,福格大飯店,New Taipei,新北市淡水區學府路89號,886-2-26262929,24小時
918,慾望精緻汽車旅館,New Taipei,新北市汐止區大同路1段118號,886-2-26419955,24小時
919,嘉欣旅社,New Taipei,新北市汐止區大同路3段543號2至3樓,886-2-26412259,24小時
920,芬多精加香汽車旅館,New Taipei,新北市汐止區工建路206號,886-2-26476858,24小時
921,金龍湖旅館,New Taipei,新北市汐止區湖前街103號1樓,886-2-26959339,24小時
922,薇星旅館,New Taipei,新北市汐止區勤進路416號,886-2-26435566,24小時
923,庭有名旅居文旅,New Taipei,新北市土城區中正路30號1至9樓,886-2-22619191,24小時
924,Q汽車旅館,New Taipei,新北市土城區中華路一段56巷38號,886-2-22629999,24小時
925,艾蔓精緻旅館(土城館),New Taipei,新北市土城區城林路6巷18號,886-2-22673399,24小時
926,馨記旅館,New Taipei,新北市蘆洲區九芎街95號,886-2-28480296,24小時
